project_slug,project_name,category,repository_url,primary_site,license_declared,reuse_classification,coverage_summary,maturity_rating,license_rating,quebec_canada_relevance,saas_selfhost_k8s_relevance,notes,date_checked
openmeter,OpenMeter,Usage billing,https://github.com/openmeterio/openmeter,https://openmeter.io,Apache-2.0,usable,Metering; events; usage billing; product catalog; entitlements; API clients,Partial,Strong,Weak,Strong,Apache-2.0; API-first Go platform with Helm charts; Graphify yes if metering shortlisted,2026-05-06
openproject,OpenProject,Project management,https://github.com/opf/openproject,https://www.openproject.org,GPL-3.0,functional reference only,Project management; work packages; portfolios; members; workflows; API,Strong,Blocked,Weak,Partial,GPL-3.0; mature project-management functional reference; conditional Graphify,2026-05-06
frepple,frePPLe,MRP planning,https://github.com/frePPLe/frepple,https://frepple.com,MIT dual-license with commercial option,cautious inspiration,MRP; supply chain planning; demand forecasting; production planning; inventory; capacity,Strong,Partial,Weak,Strong,GitHub SPDX NOASSERTION; COPYING says MIT free software plus commercial option; conditional Graphify,2026-05-06
opentcs,OpenTCS,Shop-floor control,https://github.com/openTCS/opentcs,https://www.opentcs.org/,MIT source with mixed asset and third-party licenses,cautious inspiration,Shop-floor transport control; AGV routing; dispatching; scheduling; plant model,Strong,Partial,Weak,Partial,README says original source MIT and assets/docs CC-BY-4.0; LICENSES bundle mixed; conditional Graphify,2026-05-06
openwms,OpenWMS,WMS inventory,https://github.com/openwms/org.openwms,https://openwms.github.io/org.openwms/,Apache-2.0 with public/private component split,cautious inspiration,Warehouse management; material flow control; inventory; transport; microservice WMS reference,Partial,Partial,Weak,Strong,Root repo Apache-2.0 but README lists public/private components and some GPL/private modules; conditional Graphify,2026-05-06
openboxes,OpenBoxes,WMS inventory,https://github.com/openboxes/openboxes,https://openboxes.com,EPL-1.0,cautious inspiration,Supply chain; inventory; stock movements; shipments; purchasing; healthcare logistics,Strong,Partial,Weak,Partial,EPL-1.0 weak-copyleft; strong WMS functional reference; conditional Graphify,2026-05-06
ralph,Ralph,Asset maintenance,https://github.com/allegro/ralph,https://ralph.allegro.tech/,Apache-2.0,usable,CMDB; asset lifecycle; data center assets; hardware inventory; reporting,Strong,Strong,Weak,Partial,Apache-2.0 CMDB and EAM-adjacent reference; conditional Graphify,2026-05-06
superset,Apache Superset,BI reporting,https://github.com/apache/superset,https://superset.apache.org/,Apache-2.0,usable,BI; dashboards; charts; datasets; SQL exploration; reports; security roles,Strong,Strong,Weak,Partial,Apache-2.0 mature BI reference; conditional Graphify for reporting scope,2026-05-06
node-red,Node-RED,Workflow automation,https://github.com/node-red/node-red,http://nodered.org,Apache-2.0,usable,Low-code workflows; event automation; integrations; node runtime; editor,Strong,Strong,Weak,Partial,Apache-2.0 workflow automation reference; conditional Graphify for integration scope,2026-05-06
affine,AFFiNE,Collaboration workspace,https://github.com/toeverything/AFFiNE,https://affine.pro,Unknown,cautious inspiration,Docs; canvas; workspace; databases; local-first collaboration,Unknown,Unknown,Weak,Partial,Initial evidence mixed across community and component licenses; verify source-level boundaries before reuse,2026-05-09
appflowy,AppFlowy,Collaboration workspace,https://github.com/AppFlowy-IO/AppFlowy,https://appflowy.com,AGPL-3.0,functional reference only,Notion-like workspace; docs; databases; boards; cross-platform clients,Partial,Blocked,Weak,Partial,AGPL main repository; use as functional reference unless permissive component is isolated,2026-05-09
baserow,Baserow,Database workspace,https://github.com/baserow/baserow,https://baserow.io,MIT open-core,cautious inspiration,Database workspace; tables; forms; automations; dashboards; API-first internal tools,Partial,Partial,Weak,Partial,Public evidence says non-premium and non-enterprise features under MIT; verify directory boundaries,2026-05-09
bookstack,BookStack,Knowledge base,https://github.com/BookStackApp/BookStack,https://www.bookstackapp.com,MIT,usable,Wiki; books; chapters; pages; search; permissions; knowledge organization,Partial,Strong,Weak,Partial,MIT candidate for simple knowledge-base patterns; verify source path and release,2026-05-09
docmost,Docmost,Knowledge base,https://github.com/docmost/docmost,https://docmost.com,AGPL-3.0,functional reference only,Collaborative wiki; real-time editor; spaces; comments; page history; attachments,Partial,Blocked,Weak,Partial,AGPL core plus enterprise directories; functional reference only for MIT target,2026-05-09
focalboard,Focalboard,Work management,https://github.com/mattermost-community/focalboard,https://www.focalboard.com,Unknown,cautious inspiration,Boards; tasks; templates; project cards; meeting notes; lightweight planning,Partial,Unknown,Weak,Partial,Mixed historical license evidence; verify current repository and maintenance state,2026-05-09
huly,Huly,Work management,https://github.com/hcengineering/platform,https://huly.io,EPL-2.0,cautious inspiration,All-in-one project management; docs; chat; planning; GitHub integration,Partial,Partial,Weak,Partial,EPL/source boundary requires review; broad collaboration reference,2026-05-09
logseq,Logseq,Knowledge base,https://github.com/logseq/logseq,https://logseq.com,AGPL-3.0,functional reference only,Local-first knowledge management; graph; tasks; plugins; Markdown and Org-mode,Partial,Blocked,Weak,Partial,AGPL repository; functional reference for local-first knowledge patterns only,2026-05-09
mattermost,Mattermost,Team communication,https://github.com/mattermost/mattermost,https://mattermost.com,Unknown,cautious inspiration,Team communication; channels; workflows; integrations; calls; self-hosting,Strong,Unknown,Weak,Partial,Mixed open-core and source-boundary evidence; verify compiled Team Edition versus source repository terms,2026-05-09
nocodb,NocoDB,Database workspace,https://github.com/nocodb/nocodb,https://www.nocodb.com,Sustainable Use License,functional reference only,Airtable-like database workspace; APIs; forms; views; no-code database,Partial,Blocked,Weak,Partial,Source-available posture; public functional reference only for MIT target,2026-05-09
outline,Outline,Knowledge base,https://github.com/outline/outline,https://www.getoutline.com,BSL-1.1,functional reference only,Team knowledge base; docs; permissions; search; integrations; real-time collaboration,Strong,Blocked,Weak,Partial,Current public evidence indicates BSL 1.1 main product repository; benchmark only,2026-05-09
plane,Plane,Work management,https://github.com/makeplane/plane,https://plane.so,AGPL-3.0,functional reference only,Project management; tasks; cycles; docs; triage; ClickUp/Jira/Linear alternative,Strong,Blocked,Weak,Partial,AGPL main repository; functional reference only for work-management behavior,2026-05-09
rocketchat,Rocket.Chat,Team communication,https://github.com/RocketChat/Rocket.Chat,https://rocket.chat,MIT open-core,cautious inspiration,Chat; channels; omnichannel; integrations; secure communications; self-hosted collaboration,Strong,Partial,Weak,Partial,Community edition appears MIT with enterprise boundaries; verify source and edition boundaries,2026-05-09
taiga,Taiga,Work management,https://github.com/kaleidos-ventures/taiga,https://taiga.io,MPL-2.0,cautious inspiration,Agile project management; kanban; scrum; teams; workflow collaboration,Partial,Partial,Weak,Partial,MPL-2.0 candidate; cautious inspiration only pending file-level review,2026-05-09
vikunja,Vikunja,Work management,https://github.com/go-vikunja/vikunja,https://vikunja.io,AGPL-3.0-or-later,functional reference only,Tasks; projects; kanban; Gantt; table views; sharing; teams,Partial,Blocked,Weak,Partial,AGPL main repository with open-core Pro features; functional reference only,2026-05-09
zulip,Zulip,Team communication,https://github.com/zulip/zulip,https://zulip.com,Apache-2.0,usable,Threaded team chat; streams; topics; integrations; self-hosting; APIs,Strong,Strong,Weak,Partial,Apache-2.0 candidate for async communication patterns; verify current release and license files,2026-05-09
anytype,Anytype,Collaboration workspace,https://github.com/anyproto/anytype-ts,https://anytype.io,Any Source Available License,functional reference only,Local-first knowledge OS; pages; tasks; wikis; databases; peer-to-peer sync,Partial,Blocked,Weak,Partial,Client source-available; some supporting components MIT; component-level handling required,2026-05-09
langgraph,LangGraph,Agent framework,https://github.com/langchain-ai/langgraph,https://docs.langchain.com/oss/python/langgraph/,MIT,usable,Graph-based stateful agent orchestration; multi-actor workflows; streaming; checkpointing; human-in-the-loop,Strong,Strong,Weak,Partial,MIT confirmed via LICENSE file 2026-05-11; functional reference for stateful agent loop patterns,2026-05-11
crewai,CrewAI,Agent framework,https://github.com/crewAIInc/crewAI,https://crewai.com,MIT,usable,Role-based multi-agent collaboration; crew/task/agent model; tool integration; autonomous and sequential flows,Strong,Strong,Weak,Partial,MIT confirmed via LICENSE file 2026-05-11; functional reference for multi-agent role assignment patterns,2026-05-11
autogen,AutoGen,Agent framework,https://github.com/microsoft/autogen,https://microsoft.github.io/autogen/,MIT,usable,Conversational multi-agent framework; group chat; code execution; human feedback integration; event-driven agents,Strong,Strong,Weak,Partial,MIT confirmed via LICENSE-CODE file 2026-05-11; CC-BY-4.0 applies to documentation only; functional reference for multi-agent conversation patterns,2026-05-11
openai-agents-sdk,OpenAI Agents SDK,Agent framework,https://github.com/openai/openai-agents-python,https://openai.github.io/openai-agents-python/,MIT,usable,Lightweight agent SDK; handoffs; guardrails; tracing; tool calling; streaming; OpenAI-model-first,Strong,Strong,Weak,Partial,MIT confirmed via LICENSE file 2026-05-11; functional reference for agent handoff and guardrail patterns,2026-05-11
mastra,Mastra,Agent framework,https://github.com/mastra-ai/mastra,https://mastra.ai,Apache-2.0 open-core,cautious inspiration,TypeScript agent framework; workflows; memory; RAG; tool integration; ee/ directory under proprietary license,Strong,Partial,Weak,Partial,Core Apache-2.0 confirmed via LICENSE.md 2026-05-11; ee/ directories under proprietary Enterprise License; cautious inspiration for core only,2026-05-11
vercel-ai-sdk,Vercel AI SDK,Agent framework,https://github.com/vercel/ai,https://ai-sdk.dev,Apache-2.0,usable,TypeScript AI SDK; streaming text and data; tool calling; multi-step agents; provider-agnostic; React/Next.js optimized,Strong,Strong,Weak,Partial,Apache-2.0 confirmed via LICENSE file 2026-05-11; functional reference for streaming agent and tool-calling patterns in TypeScript,2026-05-11
genkit,Genkit,Agent framework,https://github.com/genkit-ai/genkit,https://genkit.dev,Apache-2.0,usable,TypeScript/Go agent and AI workflow framework; flows; tools; retrieval; evaluation; tracing; Firebase-backed,Strong,Strong,Weak,Partial,Apache-2.0 confirmed via GitHub API 2026-05-11; functional reference for typed agent flow and evaluation patterns,2026-05-11
inngest-agent-kit,Inngest Agent Kit,Agent framework,https://github.com/inngest/agent-kit,https://agentkit.inngest.com,Apache-2.0,usable,TypeScript agent framework built on Inngest durable functions; networks of agents; tool routing; event-driven,Strong,Strong,Weak,Partial,Apache-2.0 confirmed via GitHub API 2026-05-11; functional reference for durable event-driven agent patterns,2026-05-11
baml,BAML,Agent framework,https://github.com/BoundaryML/baml,https://docs.boundaryml.com,Apache-2.0,usable,Domain-specific language for structured LLM function definitions; type-safe tool schemas; multi-language codegen,Partial,Strong,Weak,Weak,Apache-2.0 confirmed via LICENSE file 2026-05-11; functional reference for typed prompt and schema definition patterns only; DSL surface must not be copied,2026-05-11
pydantic-ai,PydanticAI,Agent framework,https://github.com/pydantic/pydantic-ai,https://ai.pydantic.dev,MIT,usable,Python agent framework; type-safe tool and result definitions via Pydantic; dependency injection; multi-model; streaming,Strong,Strong,Weak,Partial,MIT confirmed via GitHub API 2026-05-11; functional reference for typed tool result and validation patterns,2026-05-11
opa,Open Policy Agent,Policy engine,https://github.com/open-policy-agent/opa,https://www.openpolicyagent.org,Apache-2.0,usable,General-purpose declarative policy engine; Rego DSL; pre- and post-decision enforcement; audit logging; embeddable,Strong,Strong,Partial,Strong,Apache-2.0 confirmed via GitHub API 2026-05-11; functional reference for declarative per-tool-call policy enforcement; Rego syntax must not be copied,2026-05-11
cedar,Cedar,Policy engine,https://github.com/cedar-policy/cedar,https://www.cedarpolicy.com,Apache-2.0,usable,Rust policy language and engine by AWS; entity-based authorization; formal verification; PARC model,Partial,Strong,Weak,Partial,Apache-2.0 confirmed via GitHub API 2026-05-11; functional reference for entity-typed authorization policy patterns,2026-05-11
casbin,Casbin,Policy engine,https://github.com/casbin/casbin,https://casbin.org,Apache-2.0,usable,Multi-language access control framework; RBAC; ABAC; PERM metamodel; enforcer; model-driven policies,Strong,Strong,Weak,Strong,Apache-2.0 confirmed via GitHub API 2026-05-11 (note: official Apache project at apache/casbin); functional reference for role-based and attribute-based policy patterns,2026-05-11
e2b,E2B,Sandbox runtime,https://github.com/e2b-dev/E2B,https://e2b.dev/docs,Apache-2.0,usable,Cloud sandbox runtime for AI agents; code execution in isolated containers; filesystem; process; network; SDK,Strong,Strong,Weak,Partial,Apache-2.0 confirmed via LICENSE file 2026-05-11; functional reference for sandboxed code execution in agent context,2026-05-11
modal,Modal,Sandbox runtime,https://github.com/modal-labs/modal-client,https://modal.com/docs,Proprietary platform / Apache-2.0 SDK,functional reference only,Serverless cloud platform for AI workloads; GPU containers; scheduled functions; Python-first; client SDK Apache-2.0,Strong,Unknown,Weak,Weak,Client SDK Apache-2.0 confirmed 2026-05-11; platform itself is proprietary cloud-only; treated as functional reference only for sandbox runtime patterns,2026-05-11
isolate-vm,isolated-vm,Sandbox runtime,https://github.com/laverdet/isolated-vm,https://github.com/laverdet/isolated-vm,ISC,usable,Node.js addon providing V8 isolate-based sandboxing; strict memory and CPU limits; inter-isolate message passing,Partial,Strong,Weak,Partial,ISC confirmed via GitHub API 2026-05-11; functional reference for in-process V8 isolation for agent mini-module sandboxing,2026-05-11
gvisor,gVisor,Sandbox runtime,https://github.com/google/gvisor,https://gvisor.dev,Apache-2.0,usable,Linux kernel emulation sandbox by Google; OCI-compatible; syscall interception; container security boundary,Strong,Strong,Weak,Strong,Apache-2.0 confirmed via GitHub API 2026-05-11; functional reference for OS-level sandbox for agent container isolation,2026-05-11
mcp-spec,MCP Specification,MCP interop,https://github.com/modelcontextprotocol/modelcontextprotocol,https://modelcontextprotocol.io,Apache-2.0 (transitioning from MIT),usable,Model Context Protocol specification; tool discovery; invocation; authentication; client and server posture,Strong,Strong,Weak,Strong,Apache-2.0 transition from MIT confirmed via LICENSE file 2026-05-11; new contributions Apache-2.0; specification is the primary MCP interop reference for OpenERP,2026-05-11
mcp-registry,MCP Registry,MCP interop,https://github.com/modelcontextprotocol/registry,https://modelcontextprotocol.io,Apache-2.0 (transitioning from MIT),usable,MCP server registry; server listing; discovery API; community registry protocol; registry-level controls,Partial,Partial,Weak,Partial,Apache-2.0 transition from MIT confirmed via LICENSE file 2026-05-11; functional reference for registry protocol and discovery only; registry UI must not be copied,2026-05-11
langfuse,Langfuse,GenAI observability,https://github.com/langfuse/langfuse,https://langfuse.com/docs,MIT open-core,cautious inspiration,LLM observability; trace capture; prompt versioning; evaluation; dataset management; self-hostable; ee/ commercial,Strong,Partial,Weak,Strong,Core MIT confirmed via LICENSE file 2026-05-11; ee/ directories under Enterprise License; cautious inspiration for core observability patterns only,2026-05-11
phoenix-arize,Phoenix by Arize,GenAI observability,https://github.com/Arize-ai/phoenix,https://arize.com/docs/phoenix,Elastic-2.0,functional reference only,LLM and agent observability platform; traces; spans; evaluations; hallucination detection; embedding visualization,Strong,Blocked,Weak,Partial,Elastic License 2.0 confirmed via LICENSE file 2026-05-11; SaaS resale restriction makes this functional reference only; observability design patterns only,2026-05-11
helicone,Helicone,GenAI observability,https://github.com/Helicone/helicone,https://www.helicone.ai,Apache-2.0,usable,LLM observability proxy; request logging; cost tracking; prompt templates; experiments; self-hostable,Strong,Strong,Weak,Strong,Apache-2.0 confirmed via LICENSE file 2026-05-11; functional reference for proxy-based LLM observability and cost tracking patterns,2026-05-11
traceloop,OpenLLMetry,GenAI observability,https://github.com/traceloop/openllmetry,https://www.traceloop.com/openllmetry,Apache-2.0,usable,OpenTelemetry-based LLM observability SDK; traces; spans; OTel-native; multi-provider; vendor-neutral,Strong,Strong,Weak,Strong,Apache-2.0 confirmed via LICENSE file 2026-05-11; functional reference for OpenTelemetry-native LLM tracing patterns,2026-05-11
openinference,OpenInference,GenAI observability,https://github.com/Arize-ai/openinference,https://arize-ai.github.io/openinference/,Apache-2.0,usable,OpenTelemetry semantic conventions for LLM and agent observability; span attributes; framework instrumentations,Strong,Strong,Weak,Strong,Apache-2.0 confirmed via GitHub API 2026-05-11; functional reference for standardized agent trace attribute conventions,2026-05-11
